condition,image_id,cross_modal_ssim,normal_texture_contrast_d1_a0,normal_texture_dissimilarity_d1_a0,normal_texture_homogeneity_d1_a0,normal_texture_energy_d1_a0,normal_texture_contrast_d1_a45,normal_texture_dissimilarity_d1_a45,normal_texture_homogeneity_d1_a45,normal_texture_energy_d1_a45,normal_texture_contrast_d1_a90,normal_texture_dissimilarity_d1_a90,normal_texture_homogeneity_d1_a90,normal_texture_energy_d1_a90,normal_texture_contrast_d1_a135,normal_texture_dissimilarity_d1_a135,normal_texture_homogeneity_d1_a135,normal_texture_energy_d1_a135,normal_texture_contrast_d2_a0,normal_texture_dissimilarity_d2_a0,normal_texture_homogeneity_d2_a0,normal_texture_energy_d2_a0,normal_texture_contrast_d2_a45,normal_texture_dissimilarity_d2_a45,normal_texture_homogeneity_d2_a45,normal_texture_energy_d2_a45,normal_texture_contrast_d2_a90,normal_texture_dissimilarity_d2_a90,normal_texture_homogeneity_d2_a90,normal_texture_energy_d2_a90,normal_texture_contrast_d2_a135,normal_texture_dissimilarity_d2_a135,normal_texture_homogeneity_d2_a135,normal_texture_energy_d2_a135,normal_freq_low_freq_magnitude,normal_freq_mid_freq_magnitude,normal_freq_high_freq_magnitude,normal_freq_low_freq_energy_ratio,normal_freq_mid_freq_energy_ratio,normal_freq_high_freq_energy_ratio,normal_freq_total_spectral_energy,normal_morph_object_area_ratio,normal_morph_erosion_area_ratio,normal_morph_dilation_area_ratio,normal_morph_num_objects,normal_morph_mean_object_area,normal_morph_largest_object_area,sem_texture_contrast_d1_a0,sem_texture_dissimilarity_d1_a0,sem_texture_homogeneity_d1_a0,sem_texture_energy_d1_a0,sem_texture_contrast_d1_a45,sem_texture_dissimilarity_d1_a45,sem_texture_homogeneity_d1_a45,sem_texture_energy_d1_a45,sem_texture_contrast_d1_a90,sem_texture_dissimilarity_d1_a90,sem_texture_homogeneity_d1_a90,sem_texture_energy_d1_a90,sem_texture_contrast_d1_a135,sem_texture_dissimilarity_d1_a135,sem_texture_homogeneity_d1_a135,sem_texture_energy_d1_a135,sem_texture_contrast_d2_a0,sem_texture_dissimilarity_d2_a0,sem_texture_homogeneity_d2_a0,sem_texture_energy_d2_a0,sem_texture_contrast_d2_a45,sem_texture_dissimilarity_d2_a45,sem_texture_homogeneity_d2_a45,sem_texture_energy_d2_a45,sem_texture_contrast_d2_a90,sem_texture_dissimilarity_d2_a90,sem_texture_homogeneity_d2_a90,sem_texture_energy_d2_a90,sem_texture_contrast_d2_a135,sem_texture_dissimilarity_d2_a135,sem_texture_homogeneity_d2_a135,sem_texture_energy_d2_a135,sem_freq_low_freq_magnitude,sem_freq_mid_freq_magnitude,sem_freq_high_freq_magnitude,sem_freq_low_freq_energy_ratio,sem_freq_mid_freq_energy_ratio,sem_freq_high_freq_energy_ratio,sem_freq_total_spectral_energy,sem_morph_object_area_ratio,sem_morph_erosion_area_ratio,sem_morph_dilation_area_ratio,sem_morph_num_objects,sem_morph_mean_object_area,sem_morph_largest_object_area
condition_A,1,0.019124527677563456,60.84509687744332,1.672801932662236,0.7683575049708276,0.2458550514380332,91.13637242561049,2.095160029256727,0.7197823242329549,0.22637396770305845,56.585628207477995,1.573566562805474,0.7844543431984562,0.25268581145743646,87.56149301025593,2.0607925454958167,0.7221439672676452,0.22724508556854936,104.19841182511738,2.4031185812793425,0.6672321967932002,0.20880923851719174,91.13637242561049,2.095160029256727,0.7197823242329549,0.22637396770305845,108.5660683708415,2.3512016878669275,0.6908369174286598,0.21622077785292468,87.56149301025593,2.0607925454958167,0.7221439672676452,0.22724508556854936,25806.411945663313,9629.344992850822,4340.914600974986,0.949651798655985,0.027851494735022103,0.022496706608992507,1192143911940551.5,0.008075714111328125,0.0018341064453125,0.04623336791992187,1632,6.485906862745098,2042.0,1398.263329791911,28.469533387065255,0.04636148448488628,0.009532091469956852,2263.512187925154,36.90593967769702,0.03553825496713851,0.008860527196863387,2173.7463093163756,36.0630994740099,0.03667352694579844,0.00891408380106458,2263.109797522604,36.897743936175566,0.035579952622126265,0.008863649858619817,2063.377351283555,35.05238671162366,0.03691118605581271,0.008950177392364892,2263.512187925154,36.90593967769702,0.03553825496713851,0.008860527196863387,2293.2912192876693,37.041451463112615,0.03508482244915164,0.008841775159384141,2263.109797522604,36.897743936175566,0.035579952622126265,0.008863649858619817,158831.1082824608,78568.70399126198,55929.63027636487,0.9397068340752726,0.020155298243570104,0.04013786768115989,3.8724807563673504e+17,0.38566914876302083,0.0074774169921875,0.972977294921875,117853,16.084792071478876,609113.0
condition_A,2,0.008166884327644546,60.22665946906762,1.676015655541439,0.777542674678998,0.2820902114781135,88.76412947859895,2.1038017696193188,0.7296011034876371,0.2627356362006343,55.66667812194527,1.5876916849951126,0.7912420645576681,0.28727204379686644,86.87461642580311,2.076386197978168,0.731526047332311,0.26303098275720765,104.53704671606025,2.4186656396713606,0.6801386884880697,0.24604866735798628,88.76412947859895,2.1038017696193188,0.7296011034876371,0.2627356362006343,103.91770272749513,2.349712573385519,0.7004086882139152,0.25171610984900494,86.87461642580311,2.076386197978168,0.731526047332311,0.26303098275720765,27170.875151539305,9187.548951518227,4347.451084820243,0.9534280310667855,0.02464884678048114,0.021923122152732972,1220827341273316.2,0.0106109619140625,0.0020355224609375,0.05102691650390625,1920,7.24375,2547.0,2062.65559341214,34.56722759541487,0.041721280039659386,0.007845579722776176,3102.566071866025,43.139376682161334,0.0331690365401429,0.007337247226469177,2995.323549659654,42.40440353862689,0.03377976813405937,0.007369367158154269,3083.186002218412,43.00682771430102,0.03334008588338776,0.007339496508146482,3017.772298915168,42.333808965337504,0.03340317470070437,0.007364826056226342,3102.566071866025,43.139376682161334,0.0331690365401429,0.007337247226469177,3301.3338132983577,44.360638115875915,0.03173152875382949,0.007287456512618503,3083.186002218412,43.00682771430102,0.03334008588338776,0.007339496508146482,191160.34779950703,95099.73594588293,66567.28238303051,0.9164997978958057,0.028936280410033162,0.054563921694161896,3.935832326799357e+17,0.4198124186197917,0.004873250325520833,0.9794724527994791,94543,21.825645473488255,931555.0
condition_A,3,0.006749304043275305,54.86494041365325,1.6250603193412827,0.7749136134726825,0.25003282135768856,79.7186760795679,2.040081258497864,0.7203303293539707,0.22804326922295037,49.280525262707734,1.5325795760019552,0.7793150297426976,0.2509926058529845,78.58245880327142,2.0205156307201753,0.7214109230346191,0.2282138648745214,93.00611994449336,2.33837432144953,0.6790142616203677,0.2154211560399697,79.7186760795679,2.040081258497864,0.7203303293539707,0.22804326922295037,95.20870535714288,2.311796722113503,0.6830433292146937,0.21521411413457295,78.58245880327142,2.0205156307201753,0.7214109230346191,0.2282138648745214,24156.326143290542,9114.16343417259,4116.3206429820775,0.9511736480202845,0.02685619659215334,0.021970155387561828,1104682195353600.4,0.011151123046875,0.001592254638671875,0.06368942260742187,2399,6.0925385577323885,2479.0,2842.4635518431687,41.190085645434415,0.03450461421802456,0.007056015332300115,4190.60947995213,51.03295300221699,0.026900350252078833,0.006648572552654188,4200.687509160043,51.136815032243355,0.026910049117616942,0.006660052157649706,4164.179823085043,50.86983744342226,0.027146084248487613,0.0066537818698717815,3923.715188868256,49.18115267461558,0.02763012703614369,0.006684453462010537,4190.60947995213,51.03295300221699,0.026900350252078833,0.006648572552654188,4272.278683850364,51.51303318886861,0.026090199707376752,0.00662037855749703,4164.179823085043,50.86983744342226,0.027146084248487613,0.0066537818698717815,174910.95411441545,106010.92359553647,79350.93560903858,0.8968706529836175,0.032532420140409496,0.07059692687597321,4.32378386079744e+17,0.4256180826822917,0.0026959228515625,0.9906728108723958,92917,22.514695911404804,999666.0
condition_A,4,0.0049996766498722565,54.95370834147771,1.3226015808248635,0.8034057275707325,0.30203586753571937,84.92632394718197,1.6843208243243553,0.7558956269434116,0.28116304416351,50.091549059139794,1.2454850928641255,0.8113282402659016,0.30478612930600235,75.26589688149879,1.6139632854051882,0.7571513817880615,0.2813634052871479,102.46505083015454,1.9571680298806728,0.7157281767425615,0.268344569422573,84.92632394718197,1.6843208243243553,0.7558956269434116,0.28116304416351,96.34358641144814,1.8708384295499019,0.7268835082440651,0.27079921184885475,75.26589688149879,1.6139632854051882,0.7571513817880615,0.2813634052871479,23777.26334725129,9489.14542875437,4039.027774429385,0.9451554368931703,0.03245716668149691,0.02238739642533258,1019847200385707.0,0.00493621826171875,2.3651123046875e-05,0.03491973876953125,1104,5.8605072463768115,183.0,4404.49267475088,51.29400420900092,0.03219149275439663,0.006114840829619179,6280.568352182908,62.91627583811012,0.025028518368777404,0.005679785743604731,6340.793002133272,63.3028196651902,0.024685057314963448,0.005681251039212409,6257.769681885818,62.820643241593245,0.02503061335187334,0.005684323368633056,5985.9950239852105,61.20374906339588,0.0252172221950118,0.005698162519047948,6280.568352182908,62.91627583811012,0.025028518368777404,0.005679785743604731,6497.942727817062,64.20299974745829,0.02366375911664823,0.005631754702248552,6257.769681885818,62.820643241593245,0.02503061335187334,0.005684323368633056,207076.41233202512,129756.08308455837,98086.32505684036,0.8568664861419524,0.045484439651160335,0.09764907420688589,4.73903112771994e+17,0.4596246337890625,0.004657796223958333,0.9951420084635416,65399,34.54406030673252,1742813.0
condition_A,5,0.07434722398571035,91.40214141296912,2.08225496603792,0.7543430792274853,0.2500650973672649,140.5562775476014,2.6333110927173826,0.7081431727989622,0.23181322588950093,97.05905730694037,2.0540948802541545,0.7770864062778402,0.25862745070311616,136.0327571408809,2.595661780609698,0.7084555486991775,0.23181549289765735,153.60227161580593,2.9855364827856024,0.6515482353961256,0.21428923444468934,140.5562775476014,2.6333110927173826,0.7081431727989622,0.23181322588950093,160.11009662426613,2.899743150684932,0.6854168304994432,0.22366504509121762,136.0327571408809,2.595661780609698,0.7084555486991775,0.23181549289765735,29233.521863588314,11454.73727908486,5861.594489837369,0.9303862422055046,0.034691533402444685,0.03492222439205068,1339846343466098.0,0.018691253662109376,0.002014923095703125,0.07212295532226562,2220,11.035585585585586,8665.0,146.61825989970035,8.066804252963394,0.15741458412426565,0.02801013617361933,295.343548941184,11.854045057742029,0.107524662239571,0.023749486126762878,249.44221599791564,10.828497915581034,0.11994037387187757,0.024637524947096038,293.2554710397923,11.828467550895274,0.10779690332798332,0.023754969622918457,288.0566887786683,11.484133315415692,0.11017718968361792,0.024106299315962927,295.343548941184,11.854045057742029,0.107524662239571,0.023749486126762878,330.22305726179616,12.355439218912931,0.10255900102094988,0.02346276523947848,293.2554710397923,11.828467550895274,0.10779690332798332,0.023754969622918457,82864.18970584692,28221.697059303882,15209.739304766028,0.9925233944253926,0.0032620279034297193,0.004214577671178928,3.070948796006399e+17,0.288626708984375,0.0100445556640625,0.8181854248046875,97128,14.60606622189276,140872.0
condition_A,6,0.2051618907343464,54.93313028366888,1.7852180964132134,0.7372600344691778,0.2111634457590882,92.12475686268216,2.3812500143302935,0.6796963136602173,0.1907171523524238,69.37554221652005,1.9290322580645165,0.744082707485603,0.21523624517922227,96.59766955030392,2.4083980871541715,0.6818639792526062,0.19153322814431417,108.96314966622653,2.7598214067390456,0.626157925246974,0.17394279521847128,92.12475686268216,2.3812500143302935,0.6796963136602173,0.1907171523524238,125.0777450770548,2.8522451382093936,0.6398148986890912,0.17865877726217363,96.59766955030392,2.4083980871541715,0.6818639792526062,0.19153322814431417,33352.352900001635,9805.041777968036,4435.6125190164985,0.9602004958337871,0.022745728062894606,0.017053776103318347,1550898095281493.0,0.01908111572265625,0.002567291259765625,0.0753936767578125,2088,11.977969348659004,8284.0,57.28929717011854,3.457745945681906,0.3793645063935754,0.06997268918390828,117.33640172186527,5.333093042752786,0.2691860449454541,0.056179806150109,92.05716071195936,4.682762017978113,0.3036157808248553,0.06003566001380271,116.35068251688499,5.307320045264229,0.27003729270184273,0.05625693942192384,131.1139922546912,5.4431059828642185,0.26407810835105877,0.055990123693964416,117.33640172186527,5.333093042752786,0.2691860449454541,0.056179806150109,156.2478334365224,6.125201626042752,0.23767871491112777,0.05270936740522612,116.35068251688499,5.307320045264229,0.27003729270184273,0.05625693942192384,67923.71361132375,19504.6758590746,7963.658316439564,0.9971533805080028,0.001645014778511892,0.0012016047134842537,2.970453145239555e+17,0.025673624674479166,0.001151123046875,0.1137640380859375,11132,11.335878548329141,15019.0
condition_A,7,0.06497854369533192,36.13557955433932,0.9855462641712271,0.8008496757898284,0.25386058760798746,55.676936328402945,1.314047432890279,0.7348401381761427,0.23205120935234586,34.697417216520044,0.975652187194526,0.8013582652332683,0.2514859902194271,53.3923114725657,1.2950534882992197,0.7368993328988683,0.2326996582270487,67.81957281885758,1.5442035895931139,0.7017721294997319,0.22952741364806697,55.676936328402945,1.314047432890279,0.7348401381761427,0.23205120935234586,65.69959102862036,1.5257988319471627,0.6992821765425139,0.22238736274146756,53.3923114725657,1.2950534882992197,0.7368993328988683,0.2326996582270487,19684.058514741268,7682.586878316951,3243.298277635129,0.9545794539575299,0.026919336800919482,0.01850120924155131,798747674542079.5,0.003038787841796875,0.00023956298828125,0.019644927978515626,578,6.891003460207613,457.0,183.7279369382572,8.5480534388433,0.15316032651855693,0.026720374339585524,385.50889472238396,12.959168521282313,0.10176595403532361,0.02231669535926769,326.7526411461048,11.90078104644346,0.11224754224289964,0.023074257560898252,382.0705507399016,12.917795370577968,0.10188569590727,0.022325954491529666,370.4469425983841,12.287923915168099,0.10720639558684275,0.02290635875386566,385.50889472238396,12.959168521282313,0.10176595403532361,0.02231669535926769,447.02146400873306,13.67222611444213,0.09709619138415625,0.022048539700669622,382.0705507399016,12.917795370577968,0.10188569590727,0.022325954491529666,98418.45290337183,35619.56822219246,17862.368516246504,0.9886524964776633,0.005403528109382852,0.005943975412954418,3.007397363122176e+17,0.23815470377604167,0.0064105224609375,0.8170115152994791,113962,10.27165195416016,61150.0
condition_A,8,0.2142862687452035,101.4328981687353,3.281389727081704,0.5717296120184469,0.12962651269234995,155.59447102873168,4.110454847346068,0.5192688932923606,0.11739002953720998,99.93887081500492,2.9353303702346043,0.6385940566599665,0.14238847346439126,148.3920592593951,4.001824341933802,0.5267968506925039,0.11897405546423143,177.26913924955986,4.920417797584117,0.4336846769206789,0.10101808185302766,155.59447102873168,4.110454847346068,0.5192688932923606,0.11739002953720998,170.96792211961844,4.290986576565558,0.5079001411150719,0.113260744023562,148.3920592593951,4.001824341933802,0.5267968506925039,0.11897405546423143,33209.28888762261,12158.87616920489,5844.518858250905,0.9550227189323683,0.023617541528858536,0.02135973953877323,2234174719481173.2,0.094036865234375,0.00825042724609375,0.19599685668945313,2018,61.0782953419227,80080.0,23.17143049042594,1.576673830923538,0.6406293041140071,0.08244429701989267,51.877452414828696,2.776145295161342,0.48201552563004807,0.06264169339940731,38.6012402699974,2.3653475524361647,0.5241302058064805,0.06690477183394677,51.03999025804969,2.7543580667686074,0.4819177884118517,0.06247858866821283,58.84438872328643,2.7598027837503265,0.491821689538831,0.06411390386690356,51.877452414828696,2.776145295161342,0.48201552563004807,0.06264169339940731,75.62859810838113,3.5349980041058395,0.39547992977431545,0.05296549479994155,51.03999025804969,2.7543580667686074,0.4819177884118517,0.06247858866821283,57650.64590021507,12978.931096229428,4339.581308410603,0.9991314527676805,0.0005759831473976122,0.000292564084921531,3.859973802857813e+17,0.6872517903645833,0.6255588785807291,0.7826133219401041,8419,401.23292552559684,3153629.0
condition_A,9,0.23881467578873902,122.95917678606332,3.5662336908717753,0.5727537403038191,0.13446242385457213,184.66326713884027,4.412188163253764,0.524065169050712,0.12256166309207665,121.0234733932063,3.1625893511730205,0.6422270897312687,0.1480443598634149,180.18895046456905,4.320055456326232,0.5329100395483551,0.1241692932979909,214.3078693515258,5.255228200802034,0.44212692428048644,0.10562200811104641,184.66326713884027,4.412188163253764,0.524065169050712,0.12256166309207665,201.29954286937377,4.531305039138943,0.5189282571695257,0.1192162445084745,180.18895046456905,4.320055456326232,0.5329100395483551,0.1241692932979909,35525.5208914227,13446.825892517072,6563.000951651657,0.9458811495762882,0.028451997961247328,0.025666852462464498,2293397404895004.5,0.07108535766601562,0.002484130859375,0.18480072021484376,3034,30.709624258404745,22032.0,28.292915933958582,1.7507286374886024,0.6324162136120213,0.08336969920118226,59.66952001549264,2.887474772034494,0.48799947324941095,0.06509744532390697,42.272279466844715,2.403324688965607,0.5337474064359379,0.07009562134098567,58.1941177273154,2.868845939323371,0.4882745799058118,0.06502394261554807,73.16623908652593,3.0723542969768047,0.4863715462010123,0.06501228303149587,59.66952001549264,2.887474772034494,0.48799947324941095,0.06509744532390697,88.24361660095151,3.745135517140251,0.3973688329640675,0.054650382736332555,58.1941177273154,2.868845939323371,0.4882745799058118,0.06502394261554807,60833.36321993591,13732.354415551577,4370.768108582201,0.9990450408149266,0.0006613667381455418,0.00029359244692958223,3.792445305514661e+17,0.7084431966145833,0.6380452473958333,0.8148337809244791,8519,408.74985326916305,3138788.0
condition_A,10,0.19569121201528408,136.59717751294957,3.673291359216184,0.582887552194865,0.13149923293671412,198.32180260574418,4.4985948669269815,0.5402235642981252,0.1222089386939615,125.08283464687196,3.1695923448191605,0.6674732197215025,0.14805974074246012,193.02838926733605,4.403267459838874,0.5477223018811443,0.12312984538458172,233.75310390991785,5.429652349863068,0.45222761222730445,0.10523708642136284,198.32180260574418,4.4985948669269815,0.5402235642981252,0.1222089386939615,219.24943508439338,4.655570419520548,0.5492609546422832,0.12228447289123985,193.02838926733605,4.403267459838874,0.5477223018811443,0.12312984538458172,37221.87378588086,13818.241424239437,6736.969439330613,0.950918299478377,0.02547666531588502,0.023605035205738336,2677756119831892.5,0.104461669921875,0.016330718994140625,0.18059005737304687,1229,111.40764849471115,109563.0,30.88841568158135,1.84107541194477,0.6302641456825612,0.07637097070719544,64.06089309492435,2.984508995725882,0.4965700148146464,0.06053004581144794,45.94400403856175,2.482279588978635,0.5441696533274467,0.06569229075184978,63.34005963686391,2.9633801227966323,0.49686821525958547,0.06053000871699262,78.74915339132136,3.202786193640866,0.4852660181950356,0.05924839468334356,64.06089309492435,2.984508995725882,0.4965700148146464,0.06053004581144794,97.09802263914234,3.935965809111053,0.403503803658356,0.05051743653282052,63.34005963686391,2.9633801227966323,0.49686821525958547,0.06053000871699262,62727.96267021335,15110.748937506654,4702.502364080578,0.9990016227664944,0.000701724068666457,0.00029665316483897685,4.306296683484502e+17,0.71267578125,0.641175537109375,0.8161136881510417,9908,353.5470327008478,3212764.0
condition_A,11,0.2286156636293534,297.7884272380766,5.8362994160476935,0.4888452108991511,0.0924985515153278,463.3418015816059,7.389413313951134,0.42945074490180524,0.08231903029595937,352.0722705889541,5.84905303030303,0.538308579835279,0.09928819572182244,465.24603547645734,7.355778776949549,0.43574324263537,0.08321686798547039,510.52060791397696,8.42814012984155,0.35012488538316777,0.07042229902474599,463.3418015816059,7.389413313951134,0.42945074490180524,0.08231903029595937,533.0612325709394,7.95013912671233,0.400377679875589,0.07662012135649515,465.24603547645734,7.355778776949549,0.43574324263537,0.08321686798547039,50000.57642298159,20918.30859532964,10933.921286589317,0.9257499760327882,0.03726471519713831,0.03698530877007329,4247102447361138.5,0.07613601684570312,0.00508575439453125,0.15060195922851563,1626,61.37330873308733,74500.0,61.81970944053666,2.5718351081151494,0.5699738807889992,0.10427006607132769,137.9922925778109,4.490322093232339,0.4137762158543378,0.07913940167240718,106.63133223684211,3.9373127279833247,0.44823220095755356,0.08376015329275932,138.89567825172722,4.532375999369544,0.40894918973175287,0.07812507667310786,149.95657679339325,4.365205360633308,0.421016714012249,0.08050956594756838,137.9922925778109,4.490322093232339,0.4137762158543378,0.07913940167240718,192.15893692159804,5.554498297380084,0.33766426420789863,0.06796286852505425,138.89567825172722,4.532375999369544,0.40894918973175287,0.07812507667310786,69467.81655249491,20140.40112090189,7034.030643191912,0.9983085000140921,0.0010916342637009586,0.0005998657222073146,4.928127151521791e+17,0.7809527587890625,0.6933758544921875,0.8976041666666666,11698,328.13634809369125,3598963.0
