factor,test,statistic_name,statistic_value,F_approx,p_value
Condition (A-I),MANOVA,Wilks' Lambda,0.03565061038629774,73.03502867815529,1.1102230246251565e-16
Temperature,MANOVA,Wilks' Lambda,0.54929625123608,9.107674774808126,1.1102230246251565e-16
Humidity,MANOVA,Wilks' Lambda,0.5091867946304963,10.699465573444384,1.1102230246251565e-16
Water sample,MANOVA,Wilks' Lambda,0.05932472290989265,87.21008325405683,1.1102230246251565e-16
