condition,image_num,sample_id,C_coverage,Ca_coverage,Cl_coverage,Mg_coverage,Na_coverage,O_coverage,S_coverage,mds_x,mds_y
A,1,1,0.02288135593220339,0.02277374226526769,0.0406846919558784,0.08666935700834005,0.0501076136669357,0.055148641377454934,0.021216707021791768,-0.0010795743893108366,0.0024844092065352545
A,2,1,0.03487019101425881,0.035573042776432605,0.06455811138014528,0.12532620392789884,0.07364137745493678,0.0830743879472693,0.030548829701372075,-0.001925728493072987,0.0025517150658644484
A,3,1,0.02013720742534302,0.023802797955340328,0.039171374764595104,0.08391175679311272,0.04617298896959914,0.05436171643798762,0.021983454398708635,-0.0012238029181647215,0.0027125480109213692
A,4,1,0.024619989238633306,0.030044390637610975,0.05153349475383374,0.09949892386333065,0.04924670433145009,0.06567124024751143,0.023920500403551252,-0.0029649627776838893,0.0041363808522686205
A,5,1,0.02788539144471348,0.024485472154963682,0.042635189669087976,0.08619518428840463,0.049085283831046544,0.06190476190476191,0.02128396556362658,-0.0021853065746598693,0.003666721229465012
A,6,2,0.026069410815173527,0.02489911218724778,0.04974441754102771,0.09441081517352704,0.0607378262039279,0.06520379338175948,0.02563559322033898,-0.0011059954757665952,0.0013811028111547807
A,7,2,0.02495291902071563,0.028019908528383104,0.04948547215496368,0.09532216841538875,0.05778517621737961,0.06390570352434759,0.025036992198009148,-0.0016134623601254195,0.002018714712412967
A,8,2,0.02624428302394404,0.02494955609362389,0.04861447403820285,0.09173728813559322,0.06003833736884585,0.06514326069410815,0.024515738498789345,-0.0012683518762560382,0.0014601739940656429
A,9,2,0.026967312348668282,0.02695386064030132,0.05171172988969599,0.09601829432337906,0.06234194242668819,0.06531813290287866,0.02625100887812752,-0.0013999809661804916,0.0013919670454152246
A,10,2,0.022999058380414314,0.021768227064837234,0.04204667742803336,0.08391511972020446,0.053262039278988434,0.05837032553134248,0.022091068065644336,-0.0008992073325061746,0.0016223982221593581
A,11,3,0.019198950766747377,0.01875168146354587,0.03377387678235136,0.07755246166263115,0.04792507398439602,0.0559893731503901,0.022645951035781545,0.00014190131850307775,0.0016042600957235976
A,12,3,0.018512913640032283,0.017958030669895077,0.03315173527037934,0.08629607210115685,0.05421711057304278,0.053090529997309656,0.02199018025289212,0.0012239832163857694,0.001388634248005947
A,13,3,0.018418751681463546,0.017386333064299167,0.03202515469464622,0.07858824320688727,0.04957627118644068,0.053699219800914716,0.022447538337368844,0.0007956303801184539,0.0013126998454858338
A,14,3,0.01813962873284907,0.018210250201775625,0.031187785848802798,0.07881692224912563,0.047703120796341134,0.05345036319612591,0.02143193435566317,0.0006149847644381176,0.0018378241535091096
A,15,3,0.018781947807371538,0.01740314769975787,0.03139965025558246,0.07851089588377724,0.0471045197740113,0.05099206349206349,0.02164043583535109,0.0006297425197902171,0.0017922506414081783
A,16,4,0.015889830508474576,0.018257331181059995,0.04424603174603175,0.07690677966101694,0.0685969868173258,0.05507801990852838,0.02819141781006188,0.0010973631205662862,-0.002904559168405912
A,17,4,0.01637745493677697,0.017271993543179983,0.04366088243206887,0.08102972827549099,0.07311003497444175,0.059584342211460854,0.028551251008878127,0.0017143389330911102,-0.0029975151564380804
A,18,4,0.016562415926822706,0.01817998385794996,0.04483454398708636,0.07828557976863061,0.0687382297551789,0.05386736615550175,0.026698278181329027,0.0008333502470202164,-0.0027039860454382606
A,19,4,0.01595372612321765,0.01802528921172989,0.044286386871132635,0.08241861716437987,0.06763518966908798,0.055051116491794456,0.02815106268496099,0.0011326407328959955,-0.0022882902483682
A,20,4,0.016747376916868444,0.019172047350013453,0.04129338175948345,0.07672518159806295,0.06233521657250471,0.05756322302932473,0.02819141781006188,0.000904601639890076,-0.0014933107400060873
A,21,5,0.014682539682539682,0.013724105461393597,0.028655501748722088,0.06857680925477536,0.056833467850417006,0.05501412429378531,0.028800107613666935,0.003910388402389564,-0.0020392972984891473
A,22,5,0.015223970944309927,0.016232849071832124,0.030363868711326337,0.07179513048157116,0.06475652407855798,0.06099004573580845,0.03214622006994888,0.004483339224509028,-0.002802011107231033
A,23,5,0.015065913370998116,0.01617567931127253,0.031063357546408394,0.0745695453322572,0.06458165186978747,0.0643866020984665,0.031998251277912296,0.004536361626436018,-0.002408061770471883
A,24,5,0.01554681194511703,0.018048829701372074,0.03322235673930589,0.08015200430454668,0.06685499058380415,0.06353578154425613,0.03300040355125101,0.003699990067879597,-0.0020510379175009124
A,25,5,0.016020984665052463,0.01771253699219801,0.03461797148237826,0.07709510357815443,0.06269504977132095,0.06414110842076944,0.03407654022060802,0.003336260982935291,-0.0019046800848434367
B,1,1,0.028026634382566584,0.035388081786386874,0.0905938929244014,0.08464151197202045,0.07977535647027173,0.07891108420769438,0.028884180790960452,-0.010024112696817657,-0.00025716385139778206
B,2,1,0.025971885929513047,0.03487691686844229,0.09351963949421577,0.08173930589184826,0.07829903147699759,0.07967446865751951,0.025887812752219533,-0.011262220664696506,-0.003788367701217275
B,3,1,0.027552461662631155,0.03374024751143395,0.08580172181867098,0.0830979284369115,0.06535848802797956,0.07539009954264192,0.026577212806026367,-0.010151319259340354,-0.00095687867731824
B,4,1,0.026375437180521925,0.034177428033360234,0.07968455743879473,0.0819982512779123,0.07211460855528652,0.07535310734463277,0.028282216841538876,-0.007733588153497987,-0.002318764793093408
B,5,1,0.026721818670971214,0.03226392251815981,0.08210250201775625,0.08533763788001077,0.07067863868711326,0.0715664514393328,0.02727670164110842,-0.007905154064780564,-0.002030478599459379
B,6,2,0.02875302663438257,0.036840866290018835,0.07068536454129674,0.08533763788001077,0.048056228140973906,0.07295534032822168,0.02648641377454937,-0.009302507900151925,0.004599617921278731
B,7,2,0.02563559322033898,0.03590597255851493,0.06326338444982513,0.07918684422921711,0.046667339252085015,0.06914514393327953,0.02758272800645682,-0.008402698195684158,0.0037933873023388884
B,8,2,0.02830239440408932,0.03860304008609093,0.07899852031207963,0.08278181329028787,0.048671643798762446,0.07684960990045736,0.028204869518428842,-0.011950373906539675,0.004006174226036817
B,9,2,0.027744148506860373,0.0395682001614205,0.07402811407048696,0.0851594027441485,0.05152676889965026,0.07838646758138283,0.028070352434759215,-0.009959868354213924,0.0034429073729587787
B,10,2,0.029617298896959913,0.03834409470002691,0.07255851493139628,0.08290624159268227,0.050100887812752216,0.07292171105730427,0.02490247511433952,-0.010426319160684257,0.004218765452225368
B,11,3,0.018987086359967716,0.02287799300511165,0.07683279526499866,0.08201842884046275,0.09869518428840462,0.06726190476190476,0.039272262577347325,0.0018198191444091427,-0.01011049522658632
