ring_peak_position,ring_width,center_to_edge_ratio,ring_uniformity_cv,density_gradient,condition,image_num,sample_id,deposit_area_fraction
0.01,,1.1484385325261226,0.02937640795491279,64.5709108972508,C,9,2,0.35689453125
0.73,0.8,0.9896511545936243,0.007307383886046094,126.06995628746878,C,10,2,0.3510611979166667
0.01,,1.0740579370098506,0.016690516521318123,-88.56789601370849,C,11,3,0.235458984375
0.99,0.31999999999999995,1.0233338990981378,0.00945430383462729,-92.35961617901307,C,12,3,0.23213541666666668
0.99,0.29999999999999993,1.0177102073649404,0.010601047565049858,-192.65231001768132,C,13,3,0.21859049479166667
0.41000000000000003,0.72,1.029804992486208,0.016628573055592774,-119.90227855120145,C,14,3,0.22479166666666667
0.99,0.13999999999999996,1.077731076439599,0.04476995596659048,-192.9614607443923,C,15,3,0.254140625
0.01,,1.4839595677845436,0.007839960327586156,-486.9718817945231,C,16,4,0.22250325520833333
0.11,,1.387772831768068,0.026391995562021587,-514.2822472042238,C,17,4,0.22662109375
0.35,,1.3615556997045477,0.009079002859796468,-489.67295240231914,C,18,4,0.206474609375
0.09,0.10000000000000009,1.2565264416465673,0.011329485358038925,-335.2116253882305,C,19,4,0.246298828125
0.47,,1.201083723042729,0.010100586419164882,-220.87395547285297,C,20,4,0.285615234375
0.01,,1.0957046468122305,0.0822058694929485,-396.90440664208256,C,21,5,0.21830078125
0.79,0.16000000000000003,0.7534685638116246,0.06484374807811388,261.20730534919494,C,22,5,0.231328125
0.15000000000000002,,1.3374484038798164,0.01349974168280924,132.42089394632964,C,23,5,0.18566731770833333
0.01,,1.4250179586306655,0.04293901211395036,224.9190178052174,C,24,5,0.18272135416666666
0.61,,1.3395385130921096,0.01731000840742174,-177.56027742296368,C,25,5,0.22708658854166666
0.91,-0.36000000000000004,0.9455923269215424,0.01053405597455483,-130.12499283785206,D,1,1,0.38447916666666665
0.91,-0.26,0.9829059326225672,0.027387337508782687,-159.05674829816132,D,2,1,0.3790559895833333
0.19,0.39999999999999997,1.0552149237112465,0.014160858594713449,-119.00657250382002,D,3,1,0.4013899739583333
0.69,0.6799999999999999,0.9792817284923836,0.010078314390287748,-216.79759186864638,D,4,1,0.39647786458333334
0.9299999999999999,0.42000000000000004,0.8823549429487048,0.02154137301475099,85.50517938791953,D,5,1,0.038798828125
0.5700000000000001,,0.9207174363847757,0.005288422083526579,-66.79737141149127,D,6,2,0.46306966145833334
0.99,,0.9137571569499768,0.0110144640838201,-34.74991275438333,D,7,2,0.4574381510416667
0.9299999999999999,,0.9471129450880728,0.007423068746247207,107.00243225979926,D,8,2,0.47982096354166665
0.99,,0.962135626877046,0.011860209481415779,108.2812701002158,D,9,2,0.45345377604166665
0.99,,0.9647592382393984,0.03858537293295757,-51.38754205508053,D,10,2,0.4773990885416667
0.99,0.38000000000000006,0.9822693733376298,0.0045868131620633605,-225.47116599321492,D,11,3,0.278759765625
0.91,0.4600000000000001,0.9763259649039958,0.006154444072076383,-132.97766174300762,D,12,3,0.27117513020833334
0.99,0.22000000000000003,0.9468107012450008,0.021031842313458525,-36.751639945942884,D,13,3,0.29688151041666666
0.99,,0.9617085598167296,0.03758911829451274,-106.2975898275069,D,14,3,0.24427734375
0.99,,0.9347523618772171,0.05970606413835947,-125.36646141473238,D,15,3,0.27544596354166667
0.01,-0.24,1.1693234090793077,0.00538748227530936,243.7472696021049,D,16,4,0.20602864583333333
0.25,,1.1898057674222413,0.006266866998932164,336.74775729190736,D,17,4,0.184921875
0.01,,1.1745670575326683,0.03064964283370001,273.66185004282903,D,18,4,0.19375651041666667
0.01,,1.1421403429429564,0.010891603654317707,231.2446778439589,D,19,4,0.18235026041666666
0.41000000000000003,,1.0677043107083333,0.012819687873263189,-47.53034345792116,D,20,4,0.15707682291666666
0.67,0.36,0.917693597875731,0.00946554996819329,160.93269028621873,D,21,5,0.18388671875
0.73,0.45999999999999996,0.9684654475761266,0.005113610504094427,114.61074672534998,D,22,5,0.18763346354166666
0.65,0.36000000000000004,0.9494977614858274,0.016839275385429172,-9.812934755380695,D,23,5,0.17427734375
0.5700000000000001,0.72,1.0141813822369241,0.011824701077665329,78.70858030627082,D,24,5,0.178251953125
0.79,,0.8443950284825756,0.01820186467892901,23.703531429059296,D,25,5,0.13900065104166667
0.89,0.52,,0.05499656091431736,111.43471710842421,E,1,1,0.21609700520833333
0.15000000000000002,0.45999999999999996,1.0167287059373833,0.02898652737779391,-169.86899033151548,E,2,1,0.12020833333333333
0.99,0.12,,0.029048578575014465,408.81433507106254,E,3,1,0.12777669270833333
0.49,0.5199999999999999,0.6572414633118017,0.03678188762606307,-257.18459717438515,E,4,1,0.070634765625
0.01,,1.0648720816360746,0.03661866226724485,41.970176011268705,E,5,1,0.03244140625
0.05,0.020000000000000018,1.0497488755067093,0.007480868675150704,-46.473839211279,E,6,2,0.5733268229166667
0.99,0.5,1.0260107489163075,0.01080583843854174,-50.339571421215,E,7,2,0.1821484375
0.99,0.12,0.9714464983158326,0.0074401307150246026,-95.88042742354884,E,8,2,0.5600065104166667
0.31,,0.9772496205102453,0.016867503862409712,89.14090572174376,E,9,2,0.48556315104166664
0.99,0.019999999999999962,0.9872536749900607,0.0032611483439712787,-118.67908498801594,E,10,2,0.5340397135416667
0.11,-0.72,1.1029775825037482,0.007783974777228803,-187.20810358880857,E,11,3,0.3213606770833333
0.99,0.13999999999999999,1.0535470988755984,0.06112529068700147,45.40954397928755,E,12,3,0.354521484375
0.99,,0.9856262833755052,0.008206499344165232,-224.37619253127406,E,13,3,0.5949576822916667
0.99,0.21999999999999997,1.000466967799329,0.0035587588814304048,-253.7314753072532,E,14,3,0.5876399739583333
0.99,,0.9709329500200115,0.026430994731212697,-115.01855707672433,E,15,3,0.525556640625
0.03,0.29999999999999993,1.0388780196424892,0.005134707587068216,-311.54245063831326,E,16,4,0.5945084635416666
0.89,,1.0082578419392798,0.004911235370484078,-239.73544060889236,E,17,4,0.5924446614583333
0.77,0.48,0.9942345493944712,0.0014947797469183895,-277.57507944014026,E,18,4,0.5962272135416666
0.61,0.82,0.9890924429543082,0.005498864832373407,-152.87399930173316,E,19,4,0.4976399739583333
0.77,0.74,0.9759625830342105,0.003010429957372259,-188.6473820417812,E,20,4,0.46927734375
0.01,,1.1525526426917299,0.010682153514739607,-233.55049175555578,E,21,5,0.24271158854166666
0.85,,1.050327600523904,0.02499516968059508,-312.7115504022725,E,22,5,0.22068033854166666
0.01,,1.056362136051197,0.007693873155313759,-341.6636516321269,E,23,5,0.209501953125
0.77,0.31999999999999995,0.9386770539086219,0.008270207434050809,-348.5094002203087,E,24,5,0.20651041666666667
0.01,0.12,1.0567760718075847,0.014403487932488341,-229.55937269512944,E,25,5,0.23853190104166666
0.03,-0.64,1.0797311650178503,0.005075790646735828,149.9884226450185,F,1,1,0.21842447916666666
0.09,0.12,1.0490004560266557,0.026818013448000368,-131.9911366715876,F,2,1,0.24991861979166666
0.01,,1.069739402905726,0.020406813120241903,-84.47740207569686,F,3,1,0.26559895833333336
0.09,-0.6,1.115119025626777,0.012743349516076379,120.18455030356404,F,4,1,0.25540364583333336
0.99,,0.982886948493079,0.030826832979867724,59.824474984029536,F,5,1,0.26952473958333334
0.15000000000000002,0.7,1.0102948466935284,0.013475655025796819,-25.143752794289924,F,6,2,0.298662109375
0.25,0.82,1.0446904471513003,0.03221320329284626,-133.71864377970002,F,7,2,0.309189453125
0.01,-0.74,1.1262416827338146,0.04227525581639176,-15.014152295714496,F,8,2,0.3421809895833333
0.11,-0.6599999999999999,1.0566428556471368,0.008615066603577729,-70.66355401288689,F,9,2,0.34324544270833335
0.01,,1.1412504686464566,0.022656845143256034,153.6221476469115,F,10,2,0.349541015625
0.99,0.14,1.041042683173363,0.011521070117779144,-251.0313496099892,F,11,3,0.2149609375
0.99,-0.6399999999999999,1.0655778376563725,0.01876259352397785,-161.69534748340806,F,12,3,0.20287109375
0.99,0.12,1.0453589657627511,0.023425391108440188,-149.7026824303133,F,13,3,0.198427734375
0.01,,1.0524893485879887,0.004775568294908854,-82.40926785039454,F,14,3,0.214853515625
0.99,-0.8999999999999999,1.0125942795909475,0.027498669286037343,0.6207969363746884,F,15,3,0.201513671875
0.53,,1.157515077195324,0.0034791905098122723,-162.3566861104095,F,16,4,0.21069010416666667
0.59,0.5800000000000001,1.0523313715079217,0.005322079347219074,-53.85249731292089,F,17,4,0.23196614583333333
0.01,0.5800000000000001,1.0506135143102298,0.015046481309827615,-361.2075180321668,F,18,4,0.17794270833333334
0.45,,1.1429240774093474,0.004510438939181817,-457.01455320577685,F,19,4,0.22364908854166668
0.19,0.72,1.1046040763469092,0.010739111557363875,-94.92778655330756,F,20,4,0.21510416666666668
0.16999999999999998,,1.0729664993695271,0.014502562258117272,-190.14394309223073,F,21,5,0.1866796875
0.65,0.37999999999999995,0.9200145478376649,0.004651709077181434,128.98709831743582,F,22,5,0.18269856770833334
0.67,,0.6668511282714572,0.010220451830690088,331.326672876031,F,23,5,0.15272786458333334
0.69,0.33999999999999997,0.9847368264481906,0.003589414599618948,-18.446900941937145,F,24,5,0.21450846354166667
0.61,0.42,0.9758037144851239,0.005508736238442328,72.18078668053948,F,25,5,0.1709375
0.27,,0.869423615550954,0.019293044172130194,223.82316434106215,G,1,1,0.32281575520833333
0.5700000000000001,-0.16,0.9543260520136796,0.014888983296190447,166.13472483319,G,2,1,0.277529296875
0.99,,,0.0199161308158166,211.16214435574344,G,3,1,0.132880859375
0.61,0.84,0.9837321150066569,0.02682322859040984,-7.536778087431898,G,4,1,0.04799479166666667
0.11,0.24,1.374534231759703,0.08936279472721764,104.58550865494051,G,5,1,0.016334635416666667
0.47,,0.8430547576548622,0.01882327228860294,239.23900752101878,G,6,2,0.24198567708333332
0.03,,1.4503391693658996,0.012041348866102912,180.1702829711219,G,7,2,0.01314453125
0.99,0.43999999999999995,0.950689010210907,0.0029567136908986726,332.35864483015934,G,8,2,0.14315755208333333
0.31,0.74,0.9528488729620106,0.03682779627034158,-9.395291504505593,G,9,2,0.017662760416666666
0.25,0.74,1.040523957736731,0.012922614120349347,425.96394293619306,G,10,2,0.17473958333333334
0.95,0.54,1.014981079848703,0.008380165526971768,-148.1870784695477,G,11,3,0.22224283854166665
0.99,,1.0297596947277134,0.007684421536993942,-137.67991887374245,G,12,3,0.21235677083333335
0.99,0.32,1.0395405819654218,0.025426227638741417,-203.43790136444045,G,13,3,0.219794921875
0.11,0.54,1.0307231073021397,0.004925334317002775,-97.94855794273121,G,14,3,0.22465169270833332
0.99,0.14,1.0300857145170486,0.0248745935654799,-249.62315614842214,G,15,3,0.22318033854166666
0.01,,1.0530081294317972,0.010850578725321832,-48.178553372037186,G,16,4,0.17731119791666666
0.13,,1.1786764433345163,0.007846082604176494,-273.8347414999734,G,17,4,0.17885416666666668
0.01,,1.1567008942840589,0.005968061635362357,-235.55347757117391,G,18,4,0.18948567708333333
0.29000000000000004,0.44,1.0372574278906699,0.010900649768169368,300.41203311363,G,19,4,0.1682421875
0.01,,1.1588415156290577,0.024298527778160457,-183.09442084958374,G,20,4,0.2384765625
0.69,0.37999999999999995,1.0413597516767923,0.007752660188735367,-243.86162404535528,G,21,5,0.2209375
0.65,,0.9967728288889477,0.013981487905307788,-162.39676696200672,G,22,5,0.22327473958333333
0.89,0.94,0.974232620733785,0.01700104974580951,-324.2287280839386,G,23,5,0.22199869791666665
0.69,,0.996898805697589,0.011918168826671852,-284.9399737064715,G,24,5,0.21169596354166667
0.71,0.64,0.9833626979432055,0.013343455938966556,-201.92389630039418,G,25,5,0.16579427083333334
