condition,image_num,sample_id,particle_count,area_mean,area_median,area_std,area_skew,equiv_diameter_mean,equiv_diameter_median,feret_diameter_mean,feret_diameter_median,circularity_mean,circularity_std,solidity_mean,solidity_std,aspect_ratio_mean,aspect_ratio_std,eccentricity_mean,eccentricity_std,deposit_area_px,deposit_equiv_radius,deposit_center_y,deposit_center_x
A,1,1,804,608.502487562189,224.0,1338.955398955585,7.269875213587254,22.896584511395353,16.88803298257901,35.065600922750576,24.08318915758459,0.6974052886284835,0.2706575774196605,0.8436265132074134,0.12260046033970334,1.7613285091157234,0.6338049553081857,0.7519883927832924,0.14688345670717548,1389296,665.0012418301154,887.1581174926006,1139.8801176998998
A,2,1,1680,270.3047619047619,168.0,603.3132758788263,15.709170848261584,16.739174871474493,14.625465582862905,23.45241041306617,18.439088914585774,0.8709739237240692,0.1959880079655906,0.9131062766864754,0.09017600977458809,1.5095120372772282,0.6352852715343285,0.6578982850564806,0.1681484606702592,1453744,680.2507531641319,926.1354901550754,1301.9406387919744
A,3,1,455,494.78681318681316,232.0,919.8482951929286,6.953315903837162,21.58457717031155,17.186959427966244,32.81736744739132,24.166091947189145,0.6937177512338494,0.2593917631961996,0.8431389937285215,0.12014432743001843,1.7915894028324757,0.5781118761149048,0.7645047524868773,0.14037082336496953,1456352,680.8606607548537,930.505427259344,1237.2880951857792
A,4,1,601,544.0532445923461,300.0,724.7013894197769,4.9543502368988905,23.36402398422538,19.544100476116796,34.52035351254373,26.832815729997478,0.669397406781362,0.2540509772124867,0.8467779631872009,0.10588959750304527,1.781344815896171,0.7543108003818375,0.73138941808628,0.17090520578627563,1372496,660.9682636463781,922.8843625045173,1240.571775801168
A,5,1,237,610.1940928270042,316.0,764.2476611623199,3.019915848033541,24.61641118777373,20.0585068271871,38.08601420538681,28.284271247461902,0.6657908561881432,0.2579032913554343,0.8338587948400245,0.11363465567427171,1.833866584127233,0.6201528026830146,0.7723053476266117,0.14394885316923323,217680,263.22936011107794,1476.264571848585,917.3823961778758
A,6,2,1816,303.54405286343615,204.0,391.62027377247193,8.400922917758798,18.24381597562811,16.11647812414279,25.68725644463673,21.540659228538015,0.8191094469281133,0.2010652838724311,0.8986901281902904,0.08980229870627265,1.6406706288040163,0.5264265947808676,0.7111239250468813,0.17123086620445482,1602336,714.1704206897612,998.9809178599245,1236.7155053621711
A,7,2,1483,344.28860418071474,216.0,412.7610501642152,5.886594946302844,19.292358711939574,16.583719174624104,28.216281115468473,22.80350850198276,0.7660573753746064,0.22795743406825061,0.8739188578670842,0.10154427619581287,1.716455998194433,0.6226357019098078,0.7323664878742371,0.16196438096226828,1678928,731.0399309140229,968.5123983875425,1260.3758922359982
A,8,2,299,767.2642140468228,268.0,1714.6942182708392,5.1046964664953265,24.894800963968486,18.47236308621676,45.840929331055236,26.68332812825267,0.7459112279105424,0.26431906237143965,0.8687991717128648,0.1277252322464205,2.148271602973867,1.9362544278176084,0.7582171245903799,0.16693945267027488,316512,317.4096701359364,653.1635325042969,1110.7587200485289
A,9,2,1595,607.0620689655173,304.0,1538.3203416585034,15.066713235635627,23.732555931695998,19.67396303746374,39.11032916168535,26.68332812825267,0.7474344833872092,0.25080193160671366,0.868989175647293,0.12201855271290425,1.8900704694579253,1.2289632707552676,0.7488053386351464,0.1677721185020683,1165232,609.0195935252912,843.1508712428083,1226.4109258928695
A,10,2,1505,568.98073089701,284.0,1369.9110412474402,13.880260356661418,22.957485125337353,19.015783725757565,37.44995754037136,26.30589287593181,0.7432964918772936,0.2477898186423339,0.8670204812145598,0.11787319759731497,1.882164946088632,1.111303161324145,0.7508919886804174,0.16165685509077748,1119216,596.873116813848,847.0748738402596,1213.6221998255921
A,11,3,2068,331.63442940038686,208.0,916.1042344481284,18.70154988639368,18.270791758375708,16.273715780512877,27.113248999653138,21.540659228538015,0.8443478283894753,0.18801608343263101,0.9078287375079075,0.08380652952440537,1.6754668814812101,0.8943232937469293,0.7124118821204066,0.16140090048376335,1460608,681.8547985012162,945.6706248356849,1276.3391026202787
A,12,3,2335,350.70321199143467,232.0,961.510799132879,21.41791353387004,18.963689359921307,17.186959427966244,27.95095870236672,22.360679774997898,0.8438791317491269,0.19043422279521993,0.909717127244815,0.08553891800830613,1.6714090553336831,0.8165400032356773,0.7155077341517331,0.16117204009100822,1421728,672.71842390729,998.1812667401922,1206.345033649193
A,13,3,2371,338.5997469422185,236.0,909.1698386033801,25.33047335644293,18.857182507241646,17.334489682638438,27.721648689457208,22.80350850198276,0.8376971864670102,0.18827662089157793,0.9066099856692157,0.08466828846482534,1.6931739595088504,0.831762029676039,0.7165494532519435,0.1661231260466326,1413104,670.675013255943,948.2597232758523,1257.5387685548976
A,14,3,2114,334.0624408703879,216.0,881.8075055998511,15.14684092563023,18.393908378910055,16.583719174624104,27.22074883440896,22.090722034374522,0.8425633941619668,0.18847932483606394,0.9076193428322851,0.08621140807058134,1.6673189292131176,0.8886726176599413,0.7090977389953964,0.16488514708523433,1361056,658.2078550501851,990.0583429337221,1283.2884936402322
A,15,3,1839,319.66721044045676,208.0,653.0933393210347,10.650525529543295,18.17367018679141,16.273715780512877,26.852607304936768,21.540659228538015,0.8367885825184775,0.19083340350511863,0.904168634126719,0.08343286828395605,1.7060715656670629,0.928209706487719,0.7163860626093628,0.16654149696668186,1364080,658.9386538560211,1067.1708462846755,1246.776828338514
A,16,4,617,308.7131280388979,176.0,354.51237367736803,3.6559194448848977,18.15698698428285,14.96964127403822,27.039306118533755,20.396078054371138,0.7966595090053515,0.21886710528761524,0.883105279329568,0.09818457884428469,1.782966336835519,0.7337438663806854,0.7414641022927022,0.16484506032681526,1005760,565.8121164558155,988.6993636652879,1271.2883550747692
A,17,4,671,323.7853949329359,192.0,408.5918466630336,5.502706139766924,18.567744890024354,15.635280380893438,27.716763966261468,22.0,0.7807080886907938,0.220877781964111,0.8794575455279148,0.09700845025655844,1.7909010911273358,0.7103764996934904,0.7461979046067031,0.16537672134606127,933056,544.9779345653391,940.4490362850676,1289.5729816859866
A,18,4,600,297.8666666666667,188.0,310.70521684577625,3.822356361761068,18.09722202467355,15.471555655790098,26.99658612175089,21.540659228538015,0.7836019394128647,0.2177710334897233,0.881644430880353,0.09708437209772809,1.8099324740032672,0.7369753908932906,0.7495575277074829,0.1628724752741737,904272,536.5060273652,980.5632199161314,1334.6456375957675
A,19,4,691,349.6787264833575,216.0,503.8224737340874,9.44057338756387,19.2496623354387,16.583719174624104,29.260456215827638,22.80350850198276,0.758208847799232,0.23472477333483605,0.8679829141682441,0.10644659965937099,1.82054176624836,0.815620418460545,0.7510201592981168,0.15808813281891634,850336,520.2598921481261,971.3114627629549,1293.12119444549
