condition,image_num,sample_id,boundary_fractal_D,boundary_fractal_R2,particle_fractal_D,particle_fractal_R2
C,19,4,1.0304025795175857,0.9994883871635881,1.3243103677907015,0.9761284636095627
C,20,4,1.01843814734951,0.9999234532758962,1.332768554986428,0.97746448017784
C,21,5,1.0278170102223254,0.9997610373500095,1.4322963047665045,0.9803514374338663
C,22,5,1.0266005286675803,0.9996225534204592,1.1868415986443326,0.9858480885953997
C,23,5,1.0512706495532034,0.9987015570302602,1.2829933372893105,0.9802664181787384
C,24,5,1.050651845836212,0.9986764056755777,1.3123736010403422,0.9801458963794292
C,25,5,1.0375007935237746,0.9995105567631392,1.372443349841347,0.9810190067674972
D,1,1,1.0340155501909405,0.9996275762244068,1.3387771490622666,0.971273802300109
D,2,1,1.0262027817691106,0.9995855613889472,1.343184223246303,0.9721004169643177
D,3,1,1.030955250205511,0.999544247288015,1.2996675949768832,0.9686423094838773
D,4,1,1.029589186217481,0.9994331030071173,1.2963838929789708,0.9692813924532254
D,5,1,1.121948103307205,0.9968399087083943,0.9840662123583446,0.9854774381747261
D,6,2,1.0096834524287444,0.9999349037858523,1.426102288693965,0.976205296349359
D,7,2,1.0318798852801336,0.999641897710277,1.4363263075844872,0.9736470211388901
D,8,2,1.0244480294571752,0.999813820826946,1.4264890301537718,0.976307293467681
D,9,2,1.0085835560421013,0.9999859390774694,1.4314872246402375,0.9768403808078349
D,10,2,1.0221384573504786,0.9997058092004497,1.4279106936577608,0.9771233342751849
D,11,3,1.049438748274114,0.9991458748316974,1.4300771395621084,0.9809816223010557
D,12,3,1.0381154399565942,0.9991524883449127,1.4342845060113718,0.9792494205277795
D,13,3,1.0491564502366522,0.9989631967881599,1.4119828543459503,0.9799548270734526
D,14,3,1.0299483662743774,0.9994753625571502,1.4277287064354007,0.9811095792968775
D,15,3,1.0333728220842022,0.9985005678561325,1.4139815159741682,0.9781391037823371
D,16,4,1.0485442521903539,0.9992782864233289,1.289130147326807,0.9778641757969452
D,17,4,1.0514351750111353,0.998830938602293,1.2868672152916576,0.974073278112548
D,18,4,1.022623391858438,0.9998740902602509,1.2242349493687337,0.9780251228244031
D,19,4,1.0528992405154276,0.9986778644188526,1.2906302438662116,0.9732776118844652
D,20,4,1.0478158555164354,0.9982096276940061,1.3634553416349129,0.9787551655533343
D,21,5,1.0545164833425618,0.9986286637877699,1.3245379011956688,0.9770445252345015
D,22,5,1.01675978206658,0.999909530295456,1.300828891614501,0.9821504852970705
D,23,5,1.0227340992657536,0.9999283922257278,1.344058498695633,0.9838897941248365
D,24,5,1.0762025622261076,0.994925796162218,1.35596049050091,0.9809571298435242
D,25,5,1.0481120268934485,0.9979121340364316,1.2776358087904287,0.9874522636802616
E,1,1,1.1586628363445666,0.9901623804220814,1.0670093209776064,0.9770231365600226
