condition,image_num,sample_id,particle_count,clark_evans_R,nnd_mean_um,nnd_median_um,nnd_std_um,nnd_cv,voronoi_cv,voronoi_entropy,L_max,L_max_radius_um
A,19,4,691,1.0983329463615306,38.52922473318703,33.80181022452466,18.575591931846272,0.4821169400755226,7.649656066017927,4.3035731859977755,26.600495173751057,179.39996280969868
A,20,4,636,1.0305518769086905,39.60566705826135,34.34535021478361,19.44439754052558,0.490949881286488,3.5722911730443228,5.123699981429739,27.945751863140202,150.84575194469585
A,21,5,566,1.0990022979142846,40.530886997761606,34.1659471307934,19.29590828790541,0.47607910206778997,6.428064853002,4.407552443202965,16.789441013562765,136.55662542831845
A,22,5,674,1.1486030025968732,40.07152626259406,35.53056239978331,16.942393875626504,0.4228038074866611,3.462464704326246,5.408721806398651,7.34345516703651,105.72414983314586
A,23,5,817,1.1753089674564599,37.86865801793995,33.38399192937382,16.55108349441228,0.43706548794444594,9.298009793395469,3.8010136788322595,9.857888902586268,143.33621964565765
A,24,5,760,1.1903064399443926,40.029482948834655,36.6966323084694,16.03520230996341,0.40058479722207424,4.021768417722966,5.605827769303971,2.9520476557915742,144.2929279476655
A,25,5,1553,1.301406605418184,32.42582414444763,29.748273991962524,12.824299924449443,0.39549649894235256,13.666259473114735,4.197648211893181,17.691047438807573,286.5378969285111
B,1,1,3378,1.3328761797532755,39.26871652533318,37.26474356836199,11.901671058022245,0.30308276183012484,13.991451211419124,4.70130765056817,3.851518255508495,199.87802015202192
B,2,1,1064,1.306511420905981,43.87075473195643,40.130631417493234,15.794310940169694,0.3600191297521665,6.313791557873572,4.560390300854145,0.0,0.0
B,3,1,632,1.3513905326115887,45.927652088959334,42.83208320299978,15.676067304278412,0.3413208947392898,4.513157388801462,4.337294857432237,0.0,0.0
B,4,1,1614,1.2728338338088439,44.208299903481844,40.81480891920674,16.35541877199647,0.36996262710180167,8.371307895352698,4.669849580890464,0.0,0.0
B,5,1,539,1.4193218746681233,47.49330000364313,44.431082473732,17.65370296562918,0.37170933509094956,4.273162923048024,4.457300910074608,0.0,0.0
B,6,2,4440,1.3471349583724763,33.84152822613776,32.271816551266554,9.648266143895244,0.2851013724741701,19.22521735385002,5.124129512172594,0.7745662448047881,162.82737280839802
B,7,2,1398,1.2862156801282434,37.117990509780405,34.84679802428968,12.648279019601587,0.3407587222769732,6.77461149638914,4.742431609693378,0.0,0.0
B,8,2,699,1.3909657935811528,37.86307758428137,35.324421508182255,12.343860124727719,0.32601312181374814,4.171664814527123,4.762920878418899,0.0,0.0
B,9,2,434,1.3313666856948656,37.51765294030723,35.407181576653414,12.438770886360645,0.33154448403666015,4.271018021619363,3.93901938243202,0.0,0.0
B,10,2,1345,1.2943949411962994,38.50007956272584,36.23352170340379,12.37870180196819,0.3215240576789023,7.9374609734639,4.76274056174067,0.0,0.0
B,11,3,3393,1.3743864693923495,34.66870582722928,33.42898442281581,9.365355930117321,0.2701386079073549,10.633447521031693,5.934280502081791,0.9735188783779734,200.0994037364276
B,12,3,3326,1.3570774121039064,35.38411829709438,34.07788008262513,9.593074465421036,0.2711124348182158,18.050790986486287,4.576439502306326,0.0,0.0
B,13,3,2665,1.2924683983100154,35.82577414425681,34.16034059209318,11.144617651010297,0.3110782088374461,9.745386466502126,5.461833698242845,5.949681124146565,222.71081641994562
B,14,3,2979,1.315448940843873,35.92990851864034,34.48655168928152,10.516866866536875,0.29270508331744716,12.155888727621035,5.3574201398702055,0.5538746667927228,145.0155044078237
B,15,3,2959,1.3309527398583052,34.6042522345531,33.174965619921764,9.40261831367759,0.2717185809982297,9.72560838309983,5.798040168383077,0.0,0.0
B,16,4,3880,1.330944593572657,33.17671269206966,31.415027958601968,10.2646001668355,0.30939171888747985,16.445525925811495,4.745835006322761,4.860538097893993,211.45323997335234
B,17,4,3746,1.3217867824163085,33.29314587285886,31.78121046227875,9.799213068641144,0.29433124481725925,10.40170828533989,5.918815257251866,4.646422644855647,209.9434942444109
B,18,4,3526,1.322631968172541,33.83956686947003,31.949923399702126,10.82050932294634,0.31975909634672584,17.452847055130675,4.948152984718879,5.095339644276805,206.89597407391162
B,19,4,3138,1.3161965728624252,33.78554340590919,31.70108694712237,10.571346090069088,0.31289554715938445,10.720357106097296,5.786166175431129,7.029617624478448,223.79669839777074
B,20,4,3248,1.3072171182637782,33.67663104284763,31.540409019833113,11.053490989269491,0.3282243694509066,12.711779508454962,4.897815482988877,6.29552785349216,228.51040261296714
B,21,5,918,1.093946430455866,35.59449410934757,32.16134663429967,14.31230825745677,0.4020933185196801,8.746757679168175,4.2356998939148145,33.065373033428216,191.7940701854741
B,22,5,877,1.1356526609689994,37.79108236438403,34.055079634921846,16.150786809742,0.42737031593895836,6.52212245864166,4.9047465335927125,22.412714496827846,172.54929120352682
B,23,5,1013,1.1751405217310884,35.000798497430246,31.579419794684753,13.802977907743855,0.39436180031027773,7.015542051776848,4.947992058096842,13.94976613415011,147.54004979036628
B,24,5,948,1.1930879645230144,36.59744132954082,33.52249277524989,13.834748785850328,0.3780250280689202,10.625848602840204,4.097520200332193,10.322943516547184,128.61971204824522
B,25,5,1178,1.227541593753667,34.39616486937677,31.438169787023636,13.23993663988816,0.3849247929287547,8.582716463722809,5.309640993702027,8.660667822120217,187.09988318852825
C,1,1,1550,1.2763552570152856,39.24227504618265,37.2113707330668,12.749392017280929,0.3248892171077412,7.626246870955308,5.656207169107882,2.712882798114663,141.2949926385394
C,2,1,1335,1.3212361930620296,38.5184563372746,36.713273787857865,12.212504803211266,0.31705592499025287,11.363886338640533,4.742604878689638,2.9548947978899207,145.06216361404896
C,3,1,1049,1.3333920145181817,37.551526227795804,34.922553569167775,12.67737642365429,0.3375994985330434,8.460014409034292,4.302868500030957,5.507861664393147,159.70814389014157
C,4,1,1319,1.3341177990779434,36.25033441372741,34.052995296417485,11.871348965168101,0.32748246760097793,8.156380734951968,5.541645211140174,7.001589954795179,153.58800156343807
C,5,1,1617,1.3678515833138158,34.51689583462898,32.52301106014509,11.26693968145663,0.3264181036277632,5.050120929757945,5.947724347017607,12.772021385221507,236.89509916044835
C,6,2,2272,1.2915487603303586,37.06761104694915,34.65011173279212,12.312620795768368,0.3321665585670851,7.31075857559591,5.641974294285572,5.589786514617941,186.3000878442751
C,7,2,2434,1.3239010669950535,37.381060760044484,35.17030780166464,11.893648563448208,0.3181731155195301,13.585126470821349,4.691984828110375,4.324322751725873,189.70618117840766
C,8,2,2065,1.3100115022130883,37.49968160308809,35.661517976043385,12.338573974324072,0.3290314329844335,13.200155581193451,4.7462644578522255,6.115887562171196,151.8416154372359
C,9,2,2227,1.3394626256736901,37.593350628545004,35.51946386058909,12.365201023922532,0.3289198971940935,5.3983416754630875,6.235100432483401,4.80687891490615,180.3705582366791
C,10,2,1940,1.3212565593720693,39.4047252411584,36.96752770028572,13.061678063233616,0.3314749178758551,7.9778375742605645,5.3167649315822985,5.242038763685144,127.77888151574962
C,11,3,2169,1.4066716153939556,32.49310233314127,31.463642129999943,8.396128015836497,0.25839724165928235,9.841566714669408,5.441827813305911,0.0,0.0
C,12,3,1923,1.4195076325005584,34.57716557536914,33.24362831417686,9.236074964861318,0.26711486644933635,6.5361256189560635,5.768958057190352,0.0,0.0
C,13,3,1724,1.4117968011877784,35.24437361122566,34.145209387792406,9.406133827997222,0.26688327424270863,5.833267603400273,5.972921575701951,0.0,0.0
C,14,3,1810,1.4270300894274204,35.257745914183346,34.17424574068485,9.05920676041523,0.2569423122642372,5.231205694352926,6.084391585398075,0.0,0.0
C,15,3,1933,1.398596101892114,35.553636695429766,33.937190396822125,9.790600317092125,0.27537549536671324,10.43978815399053,4.877580298069288,1.165792558896925,152.20634234375012
C,16,4,1973,1.350315111639928,31.79145222865621,29.53979509293234,10.988778451188463,0.3456519812984003,6.820524837842666,5.673282647066519,13.920637084369844,305.18072917008175
C,17,4,1741,1.3270996964314232,33.567958292622784,31.20239674290953,11.367697226302145,0.33864726377476523,9.147650642466262,4.9532170046796065,12.795054991911229,246.39340226637125
C,18,4,1370,1.313161813109329,35.74060377813232,33.031172083736,12.490866352597463,0.349486719086708,9.369427188021469,4.649847546772037,10.114591734540369,254.7852848379035
C,19,4,1527,1.3144674259304912,37.01110737986871,33.85649453535048,14.16453118690349,0.38271027779644173,11.80168213678729,4.689722996297856,10.50932264954119,235.4623752365796
C,20,4,1909,1.3356600730430743,36.220484959329035,33.966265766696154,11.64175212502645,0.3214134801921798,6.755966714753288,5.907949132921543,8.923059311465693,253.56016876296587
C,21,5,1686,1.2324259377649358,31.09068472255103,30.007962797807856,8.799744390288382,0.28303475683524126,8.848219741228728,4.993324663891984,35.60162484291703,362.7419746612517
C,22,5,649,0.900945988326524,37.710407315008105,33.2819037551114,20.987024322415568,0.556531361411816,7.002446865587593,4.140979888201683,68.98663013434015,186.70433041147257
C,23,5,893,1.0702946333090109,34.21495294061552,32.002268012154765,12.575447616980414,0.36754244960695204,3.874365023577375,5.489972807424136,25.489746912626998,148.68096850122686
C,24,5,1027,1.1179540672118986,33.06008669346799,30.686027767575972,11.577252298371667,0.3501882014320035,9.64070343859061,4.606767034432785,22.578879088561393,165.93378694840683
C,25,5,1756,1.2662276196150295,31.923894477481465,29.9720096946509,10.089600562591762,0.31605168253230453,14.53769117516216,4.200885672225601,9.34041535126974,205.53860555499864
D,1,1,2336,1.3697085098129758,38.95818699683995,37.21577833260194,11.26240784245774,0.2890896294371008,12.995465273126937,4.7461744504922825,0.4937580350062092,160.4668469784712
D,2,1,2394,1.3603934014731334,37.95113094716184,36.49100275952088,10.62109635310909,0.2798624464682358,15.011026117928932,4.750658752956622,0.0,0.0
D,3,1,2009,1.292636539474634,40.50795482184728,38.40133327455632,13.313280056423693,0.3286584107979552,5.9884203123458475,5.884816968384618,3.6865483970999264,163.95783436854686
D,4,1,1987,1.3088064512669877,40.98798449785686,39.02410669794259,13.326381026908324,0.32512896621216203,9.133324375345953,5.668433479608227,6.000752664898641,190.1100935610302
D,5,1,143,1.3398638984830806,48.92970169615326,45.06471862811519,19.2930086124659,0.3943005565877519,3.0007719903733485,3.310194837458771,0.0,0.0
D,6,2,3956,1.3832436660783045,33.17907774602803,31.659116394211697,9.422455089037111,0.28398785406761656,16.991678548671793,3.998306215975099,2.6784356976043,205.45601819374198
D,7,2,3759,1.3727738041362536,33.57373116981564,32.04210935868082,9.521538321972207,0.28360083881688186,16.26187595199191,4.866061995701285,2.7092273249214713,204.2028946512051
D,8,2,4062,1.3726258755278486,33.07443456524858,31.563535415132524,9.337245440558844,0.28231005498033573,12.569456844551526,5.189694498106935,2.34143938668592,179.2621176099902
D,9,2,3957,1.376034153965031,32.657527161049565,31.341204087508267,9.145162309800972,0.28003229591456485,17.74087209254973,5.002476445959646,1.7859190216257161,174.26710818948408
D,10,2,4160,1.4023496945815197,33.30589040913913,31.812360565073227,9.22833075417021,0.27707803757253574,8.136981901157002,6.7230800813312985,4.0634531388458015,208.6106592481728
D,11,3,2695,1.401599593154079,31.6031389306807,30.181065845975517,9.307379513727227,0.2945080719400158,13.423093976747529,4.509312580564673,6.461667511862146,227.7260473336226
D,12,3,2576,1.3881183575821354,31.575416948581715,30.21536981628207,8.86960879288722,0.2809023490435847,8.472146457662085,5.940901584096869,1.7629013604229442,157.22464813336677
D,13,3,2697,1.3590078409920496,31.61139501092852,30.036119460113763,9.381242712380836,0.2967677544485969,14.972466536577278,4.193086119027678,5.144745576254337,211.51041026120888
D,14,3,2412,1.3944622778072644,31.11217050222146,29.83544859863634,8.609193943399504,0.27671466838949066,11.254742765832829,5.139625491043108,3.224116149393865,191.85881892184335
D,15,3,2416,1.3630158082222996,32.265710369470895,30.837624268046874,8.628473103793834,0.2674192821106429,12.400612702474488,5.283049320738803,0.5980020957408385,158.45790473592035
D,16,4,1166,1.1997845540763836,35.35805706452121,31.986902636722863,13.69876495165273,0.38742979928606625,10.478452743928308,4.2044771832069845,12.87514119680759,195.77690871476906
D,17,4,943,1.2037461721087497,37.37178260608623,34.406891646120926,14.17070281764589,0.3791818808059239,5.465185749601874,5.101140027557717,11.683891644388723,166.9299703880569
D,18,4,841,1.175804394392582,39.56724664210125,34.377665780327554,18.638661134913196,0.4710628794443548,9.323351068906238,4.008020616812667,19.04894006366922,170.87098551799195
