radius_bin,r_center,mean_intensity,pixel_count,condition,image_num,particle_density,n_particles
43,0.87,123.76588562351073,45324,A,3,77.22178095490248,14
44,0.89,121.60917272839355,40555,A,3,86.30255208975466,14
45,0.91,124.5995609037601,35983,A,3,104.21587972097934,15
46,0.9299999999999999,123.96822314414335,33987,A,3,88.26904404625299,12
47,0.95,121.71480052300922,31357,A,3,87.69971617182767,11
48,0.97,118.82999415787484,29099,A,3,120.27904738994467,14
49,0.99,118.37254305592518,26303,A,3,142.5692886742957,15
0,0.01,96.5018115942029,552,A,4,0.0,0
1,0.03,101.77397678680514,1637,A,4,0.0,0
2,0.05,107.01778584392015,2755,A,4,90.74410163339383,1
3,0.07,109.8846954711088,3842,A,4,0.0,0
4,0.09,115.52979327117957,4934,A,4,50.66882853668423,1
5,0.11,118.87357272877709,6043,A,4,124.1105411219593,3
6,0.13,128.39207171872812,7139,A,4,70.03782042302844,2
7,0.15000000000000002,125.59227780475959,8236,A,4,60.70908207867897,2
8,0.16999999999999998,125.19487893721877,9334,A,4,26.78380115706021,1
9,0.19,134.73012071278023,10438,A,4,95.80379383023568,4
10,0.21000000000000002,142.36858111043531,11509,A,4,108.61065253280042,5
11,0.22999999999999998,132.66574301322143,12631,A,4,19.792573826300373,1
12,0.25,135.3156400174749,13734,A,4,72.81199941750401,4
13,0.27,135.18901780895845,14824,A,4,50.593631948192126,3
14,0.29000000000000004,127.06145532235767,15914,A,4,125.67550584391104,8
15,0.31,121.40437158469945,17019,A,4,117.51571772724603,8
16,0.33,124.6360227210059,18133,A,4,68.93509071857939,5
17,0.35,130.3543782882742,19197,A,4,104.18294525186228,8
18,0.37,133.23756090358776,20319,A,4,61.51877553029185,5
19,0.39,129.53337069730512,21411,A,4,70.05744710662744,6
20,0.41000000000000003,127.67857142857143,22512,A,4,55.52594171997158,5
21,0.43,129.71662922300877,23591,A,4,74.18083167309568,7
22,0.45,129.26156770749068,24724,A,4,80.89305937550559,8
23,0.47,130.0601092896175,25803,A,4,48.443979382242375,5
24,0.49,137.7719526715285,26876,A,4,130.2277124572109,14
25,0.51,136.92028545941125,28025,A,4,98.12667261373774,11
26,0.53,135.11710720791942,29093,A,4,94.52445605472107,11
27,0.55,132.7942550442302,30183,A,4,66.26246562634596,8
28,0.5700000000000001,132.6833359961655,31295,A,4,103.85045534430421,13
29,0.59,133.8678290387286,32405,A,4,61.71887054466904,8
30,0.61,130.07802604851236,33476,A,4,44.808220814912175,6
31,0.63,129.07088527055558,34577,A,4,86.76287705700322,12
32,0.65,129.56813282190552,35717,A,4,83.99361648514713,12
33,0.67,128.58180581996191,36770,A,4,81.58825129181399,12
34,0.69,130.27512277551884,37874,A,4,59.4075091091514,9
35,0.71,130.6912639786601,38988,A,4,128.24458807838312,20
36,0.73,128.92259884185304,40064,A,4,99.84025559105433,16
37,0.75,126.74397648887593,41172,A,4,109.29758088020985,18
38,0.77,129.32127563935745,42269,A,4,106.460999787078,18
39,0.79,132.5107946821502,43401,A,4,132.48542660307368,23
40,0.81,126.59838592673195,44112,A,4,130.3500181356547,23
41,0.83,125.52424360413184,43661,A,4,85.88900849728591,15
42,0.85,125.48778043892663,40918,A,4,140.52495234371182,23
43,0.87,119.53116883116883,36190,A,4,117.43575573362807,17
44,0.89,118.57364616660742,33756,A,4,155.52790615001777,21
45,0.91,120.58765212417781,31471,A,4,174.76406850751485,22
46,0.9299999999999999,122.31390582480796,29031,A,4,206.67562261031313,24
47,0.95,120.84938787478924,27282,A,4,192.43457224543658,21
48,0.97,120.4,25250,A,4,118.81188118811882,12
49,0.99,122.49778001172824,23874,A,4,115.18807070453212,11
0,0.01,121.78823529411764,85,A,5,0.0,0
1,0.03,120.6969696969697,264,A,5,946.9696969696971,1
2,0.05,115.83524027459954,437,A,5,572.0823798627002,1
3,0.07,123.36019736842105,608,A,5,822.3684210526317,2
4,0.09,120.92307692307692,780,A,5,320.5128205128205,1
5,0.11,115.03854166666666,960,A,5,260.4166666666667,1
6,0.13,114.25352112676056,1136,A,5,660.2112676056339,3
7,0.15000000000000002,111.71286370597244,1306,A,5,191.42419601837673,1
8,0.16999999999999998,106.18909592822637,1449,A,5,172.5327812284334,1
9,0.19,104.98930481283422,1496,A,5,0.0,0
10,0.21000000000000002,105.8426103646833,1563,A,5,319.8976327575176,2
11,0.22999999999999998,107.42114695340501,1674,A,5,149.34289127837516,1
12,0.25,106.66553480475382,1767,A,5,424.44821731748726,3
13,0.27,102.76611614278103,1877,A,5,266.3825253063399,2
14,0.29000000000000004,99.30622489959839,1992,A,5,125.50200803212853,1
15,0.31,103.96803652968036,1971,A,5,380.517503805175,3
16,0.33,107.2482191780822,1825,A,5,684.931506849315,5
17,0.35,108.47995606809445,1821,A,5,549.1488193300385,4
18,0.37,108.75908618899273,1926,A,5,129.80269989615783,1
19,0.39,113.9820806371329,2009,A,5,622.2000995520159,5
20,0.41000000000000003,113.5111111111111,2115,A,5,354.60992907801426,3
21,0.43,110.37207207207207,2220,A,5,337.83783783783787,3
22,0.45,111.09818339100346,2312,A,5,324.3944636678201,3
23,0.47,111.91683905668184,2417,A,5,103.4340091021928,1
24,0.49,114.0230648944488,2558,A,5,293.19781078967947,3
25,0.51,117.14082397003746,2670,A,5,468.1647940074906,5
26,0.53,118.18452167681835,2791,A,5,358.29451809387314,4
27,0.55,114.86030428769018,2892,A,5,86.44536652835409,1
28,0.5700000000000001,114.51570855614973,2992,A,5,584.8930481283422,7
29,0.59,111.99374588545095,3038,A,5,164.58196181698486,2
30,0.61,109.02796528447445,3111,A,5,160.72002571520412,2
31,0.63,115.60640301318267,3186,A,5,156.9365976145637,2
32,0.65,122.04233128834356,3260,A,5,383.4355828220859,5
33,0.67,117.92612612612612,3330,A,5,225.22522522522522,3
34,0.69,117.41671606401897,3374,A,5,222.28808535862478,3
35,0.71,115.93854587420658,3466,A,5,216.38776687824583,3
36,0.73,110.83385137044363,3539,A,5,70.64142413111048,1
37,0.75,112.66981132075472,3604,A,5,277.4694783573807,4
38,0.77,115.83071652868969,3503,A,5,285.46959748786753,4
39,0.79,114.43507440910417,3427,A,5,218.85030639042895,3
40,0.81,112.41482602118003,3305,A,5,453.85779122541607,6
41,0.83,109.43125202199936,3091,A,5,80.87997411840828,1
42,0.85,109.59443879281112,2949,A,5,339.097999321804,4
43,0.87,107.06058495821728,2872,A,5,87.04735376044569,1
44,0.89,106.3116485013624,2936,A,5,170.29972752043597,2
45,0.91,108.4613613942782,3041,A,5,411.04899704044726,5
46,0.9299999999999999,110.88300349243306,3436,A,5,291.03608847497094,4
47,0.95,110.28579356270811,3604,A,5,138.73473917869035,2
48,0.97,108.33060388945752,3908,A,5,191.91402251791197,3
49,0.99,107.32901807523204,4094,A,5,183.19491939423548,3
0,0.01,72.73405909797823,643,A,6,0.0,0
1,0.03,77.22337662337662,1925,A,6,0.0,0
2,0.05,90.17182130584193,3201,A,6,234.3017806935333,3
3,0.07,94.17880204854153,4491,A,6,111.333778668448,2
4,0.09,92.38310787374263,5766,A,6,216.78806798473815,5
5,0.11,92.42292939337975,7039,A,6,213.0984514845859,6
6,0.13,94.58689390302449,8332,A,6,390.06240998559775,13
7,0.15000000000000002,95.08192971511748,9618,A,6,337.9080889997921,13
8,0.16999999999999998,98.48532110091743,10900,A,6,137.61467889908258,6
9,0.19,97.86916502301118,12168,A,6,287.6397107166338,14
10,0.21000000000000002,98.2001485884101,13460,A,6,260.0297176820208,14
11,0.22999999999999998,101.68891448705787,14758,A,6,254.09947147309936,15
12,0.25,101.07345867949279,16009,A,6,218.62702229995628,14
13,0.27,100.42416363321199,17307,A,6,260.01040041601664,18
14,0.29000000000000004,100.65654393980113,18605,A,6,309.0567051867777,23
15,0.31,100.28023361192227,19862,A,6,226.56328667807878,18
16,0.33,100.36174940898346,21150,A,6,295.5082742316785,25
17,0.35,103.98925881356688,22437,A,6,267.4154298703035,24
18,0.37,105.66277403035413,23720,A,6,263.4907251264756,25
19,0.39,103.57377836474967,24987,A,6,220.11445951894987,22
20,0.41000000000000003,104.52845280719129,26254,A,6,247.58132094157082,26
21,0.43,103.974728980095,27581,A,6,190.3484282658352,21
22,0.45,104.21605409153953,28840,A,6,216.71289875173372,25
23,0.47,106.00723771580346,30120,A,6,232.40371845949537,28
24,0.49,104.0904026738819,31415,A,6,278.52936495304795,35
