condition,image_num,r_um,L_r
A,14,635.5110324622477,-33.13307757831319
A,14,658.2078550501851,-37.15748877147644
A,15,0.0,0.0
A,15,22.722022546759348,-13.711708974251044
A,15,45.444045093518696,-4.983265392809045
A,15,68.16606764027804,-2.5073581828751372
A,15,90.88809018703739,-1.6041690024600541
A,15,113.61011273379674,-0.7886054554744106
A,15,136.3321352805561,-0.5591492271484526
A,15,159.05415782731544,-0.3011313615198219
A,15,181.77618037407478,-0.7505783830058306
A,15,204.49820292083413,-0.8753106982344434
A,15,227.22022546759348,-1.424690179305884
A,15,249.94224801435283,-2.185066111677145
A,15,272.6642705611122,-3.316533604305505
A,15,295.38629310787155,-4.240032533457395
A,15,318.10831565463087,-5.531154352097587
A,15,340.8303382013902,-7.0159177427720465
A,15,363.55236074814957,-8.742095112598065
A,15,386.27438329490894,-10.922368353426464
A,15,408.99640584166826,-13.189878470834913
A,15,431.7184283884276,-15.5910290075293
A,15,454.44045093518696,-18.404008569288692
A,15,477.16247348194634,-21.318873822061335
A,15,499.88449602870566,-24.797460611689928
A,15,522.606518575465,-28.1281344747847
A,15,545.3285411222244,-31.752673377177075
A,15,568.0505636689837,-35.70798076369931
A,15,590.7725862157431,-39.87816072603164
A,15,613.4946087625024,-44.17451040487197
A,15,636.2166313092617,-48.83529718433408
A,15,658.9386538560211,-53.76165662967412
A,16,0.0,0.0
A,16,19.51076263640743,-9.456969889717989
A,16,39.02152527281486,0.17537484211075594
A,16,58.53228790922229,4.787985523049102
A,16,78.04305054562973,7.305695678103973
A,16,97.55381318203716,11.194582601193005
A,16,117.06457581844458,12.8849897765773
A,16,136.57533845485202,12.952649523508796
A,16,156.08610109125945,13.3831933753209
A,16,175.59686372766689,13.599738167127981
A,16,195.10762636407432,12.497716534945198
A,16,214.61838900048176,11.103625597797333
A,16,234.12915163688916,8.568100298490947
A,16,253.6399142732966,6.375865329587498
A,16,273.15067690970403,2.868203072180961
A,16,292.66143954611147,-1.1130062047583351
A,16,312.1722021825189,-5.133475762820126
A,16,331.68296481892634,-10.19207890090189
A,16,351.19372745533377,-15.120232995790445
A,16,370.7044900917412,-20.96349597684582
A,16,390.21525272814864,-27.04271832075625
A,16,409.7260153645561,-33.68190986342478
A,16,429.2367780009635,-40.27928377911479
A,16,448.74754063737095,-47.560476193778584
A,16,468.2583032737783,-54.3072998944578
A,16,487.76906591018576,-61.26226109706715
A,16,507.2798285465932,-68.74542046237599
A,16,526.7905911830006,-76.07856522879325
A,16,546.3013538194081,-83.3826940084038
A,16,565.8121164558155,-91.09278961039183
A,17,0.0,0.0
A,17,18.79234257121859,-12.28999404214631
A,17,37.58468514243718,-0.30234838711498213
A,17,56.37702771365577,4.533702609761981
A,17,75.16937028487436,7.783371068541797
A,17,93.96171285609296,10.885506765208405
A,17,112.75405542731154,12.024979377886623
A,17,131.54639799853013,14.394755238793465
A,17,150.33874056974872,14.4319771919169
A,17,169.13108314096732,14.120972865397817
A,17,187.92342571218592,14.01611313931835
A,17,206.7157682834045,11.754917441807748
A,17,225.50811085462308,9.758774206105244
A,17,244.30045342584168,7.723227598736116
A,17,263.09279599706025,4.996045251413193
A,17,281.8851385682789,1.6015975411892782
A,17,300.67748113949744,-2.1796664367562357
A,17,319.469823710716,-6.604474370033074
A,17,338.26216628193464,-11.280658540082186
A,17,357.0545088531532,-15.797344197339783
A,17,375.84685142437183,-20.843036156127198
A,17,394.6391939955904,-26.458959946149037
A,17,413.431536566809,-32.1559744663129
A,17,432.2238791380276,-38.368571999978826
A,17,451.01622170924617,-44.65195168544767
A,17,469.80856428046474,-51.094426445575095
A,17,488.60090685168336,-58.081103108428806
A,17,507.39324942290193,-65.16781367636241
A,17,526.1855919941205,-72.4516370886181
A,17,544.9779345653391,-80.24762033439436
A,18,0.0,0.0
A,18,18.50020784017931,-11.803218887636522
